,Unnamed: 0,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Area
122,122,Ann Taylor, Unknown, 1954,"New York, NY","Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,Fashion/Retail
123,123,Lord & Taylor," Nordstrom, Macy's, Winners", 2006,"New York, NY","Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public,Fashion/Retail
124,124,American Eagle Outfitters, Unknown, 1977,"Pittsburgh, PA","Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (AEO) ,Fashion/Retail
125,125,Montefiore Medical,, 1884,"Bronx, NY",Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Nonprofit Organization,Health
126,126,Nordstrom,, 1901,"Seattle, WA","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (JWN) ,Fashion/Retail
127,127,Scholastic, Unknown, 1920,"New York, NY",Publishing,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (SCHL) ,Goods & Svcs
128,128,Duane Reade, Unknown, 2004,"New York, NY",Drug & Health Stores,,Walgreens, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Health
129,129,Colgate-Palmolive,, 1806,"New York, NY",Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CL) ,Goods & Svcs
130,130,Wiley, Unknown, 1807,"Hoboken, NJ",Publishing,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (JW-A) ,Goods & Svcs
131,131,Hearst, Unknown, 1887,"New York, NY",Motion Picture Production & Distribution,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,Entertainment
132,132,S&P Global Ratings,, 1860,"New York, NY",Financial Analytics & Research,,S&P Global, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Finance
133,133,Weill Cornell Medical College, Unknown, 1898,"New York, NY",Colleges & Universities,,, Unknown / Non-Applicable,10000+ employees, College / University,Education
134,134,Kohl's,, 1962,"Menomonee Falls, WI","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (KSS) ,Fashion/Retail
135,135,Coach,, 1941,"New York, NY",Other Retail Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (TPR) ,Fashion/Retail
136,136,Société Générale," BNP Paribas, Natixis, Calyon Securities USA", 1864,Paris (France),Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GLE) ,Finance
137,137,Trader Joe's,, 1967,"Monrovia, CA",Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
138,138,HBO, Unknown, 1972,"New York, NY",TV Broadcast & Cable Networks,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Entertainment
139,139,Sephora,, 1969,"San Francisco, CA",Beauty & Personal Accessories Stores,,LVMH, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,Goods & Svcs
140,140,NYC Health + Hospitals, Unknown, Unknown,"New York, NY",Health Care Services & Hospitals,,, Unknown / Non-Applicable,5001 to 10000 employees, Company - Public,Health
141,141,Sprint, AT&T, Unknown,"Overland Park, KS",Telecommunications Services,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (S) ,Technology
142,142,Mondo," Robert Half, Insight Global", 2000,"New York, NY",Staffing & Outsourcing,,Addison Group, $50 to $100 million (USD) per year,201 to 500 employees, Company - Private,Goods & Svcs
143,143,Old Navy,, 1994,"San Francisco, CA","Department, Clothing, & Shoe Stores",,Gap Inc., $100 to $500 million (USD) per year,10000+ employees, Subsidiary or Business Segment,Fashion/Retail
144,144,TransPerfect, Unknown, 1992,"New York, NY",Consulting,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,Goods & Svcs
145,145,Chipotle,, 1993,"Denver, CO",Casual Restaurants,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (CMG) ,Goods & Svcs
146,146,AllianceBernstein,, 1967,"New York, NY",Investment Banking & Asset Management,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public,Finance
147,147,Honeywell,, 1885,"Charlotte, NC",Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HON) ,Technology
148,148,New York Times, Unknown, 1896,"New York, NY",News Outlet,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Public (NYT) ,Entertainment
149,149,Kmart, Unknown, 1899,"Hoffman Estates, IL",General Merchandise & Superstores,,Sears, $5 to $10 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
150,150,Uber,, 2009,"San Francisco, CA",Computer Hardware & Software,,, Unknown / Non-Applicable,10000+ employees, Company - Public (UBER) ,Technology
151,151,National Debt Relief,, 2009,"New York, NY",Lending,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,Finance
