,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
464,Life Time," Equinox Fitness, LA Fitness", 1992,"Chanhassen, MN"," Health, Beauty, & Fitness",,, $1 to $2 billion (USD) per year,10000+ employees, Company - Private,www.lifetime.life,"https://www.glassdoor.com/Overview/Working-at-Life-Time-EI_IE21088.11,20.htm"
465,Aflac,, 1955,"Columbus, GA", Insurance Carriers,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Public (AFL) ,www.aflac.com,"https://www.glassdoor.com/Overview/Working-at-Aflac-EI_IE1302.11,16.htm"
466,Boston Consulting Group,, 1963,"Boston, MA", Consulting,,, $5 to $10 billion (USD) per year,Unknown, Company - Private,www.bcg.com,"https://www.glassdoor.com/Overview/Working-at-Boston-Consulting-Group-EI_IE3879.11,34.htm"
467,Infor,, 2003,"New York, NY", Computer Hardware & Software,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,www.infor.com,"https://www.glassdoor.com/Overview/Working-at-Infor-EI_IE15375.11,16.htm"
468,BAYADA Home Health Care,, 1975,"Moorestown, NJ", Health Care Services & Hospitals,,, $1 to $2 billion (USD) per year,10000+ employees, Company - Private,www.bayada.com,"https://www.glassdoor.com/Overview/Working-at-BAYADA-Home-Health-Care-EI_IE153924.11,34.htm"
469,"Discovery, Inc.", Unknown, 1985,"New York, NY", TV Broadcast & Cable Networks,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (DISCA) ,corporate.discovery.com,"https://www.glassdoor.com/Overview/Working-at-Discovery-Inc-EI_IE4220.11,24.htm"
470,Hunter College, Unknown, Unknown,"New York, NY", Colleges & Universities,,, Less than $1 million (USD) per year,1 to 50 employees, College / University,www.hunter.cuny.edu,"https://www.glassdoor.com/Overview/Working-at-Hunter-College-EI_IE128609.11,25.htm"
471,US Standard Products, Unknown, 2014,"Englewood, NJ", Wholesale,,, Unknown / Non-Applicable,51 to 200 employees, Company - Private,www.usstandardproducts.com,"https://www.glassdoor.com/Overview/Working-at-US-Standard-Products-EI_IE965441.11,31.htm"
472,Keller Williams," RE/MAX, Berkshire Hathaway HomeServices, Redfin", 1983,"Austin, TX", Real Estate,,, $100 to $500 million (USD) per year,201 to 500 employees, Company - Private,www.kw.com,"https://www.glassdoor.com/Overview/Working-at-Keller-Williams-EI_IE114145.11,26.htm"
473,The Container Store,, 1978,"Coppell, TX"," Department, Clothing, & Shoe Stores",,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public (TCS) ,www.containerstore.com,"https://www.glassdoor.com/Overview/Working-at-The-Container-Store-EI_IE4462.11,30.htm"
474,Gensler,, 1965,"San Francisco, CA", Architectural & Engineering Services,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Private,www.gensler.com,"https://www.glassdoor.com/Overview/Working-at-Gensler-EI_IE14045.11,18.htm"
475,SinglePlatform,, 2010,"New York, NY", Advertising & Marketing,,Endurance International Group, Unknown / Non-Applicable,51 to 200 employees, Subsidiary or Business Segment,www.singleplatform.com,"https://www.glassdoor.com/Overview/Working-at-SinglePlatform-EI_IE427415.11,25.htm"
476,TGI Fridays, Unknown, Unknown,"Dallas, TX", Casual Restaurants,,, $500 million to $1 billion (USD) per year,10000+ employees, Company - Private,www.fridays.com,"https://www.glassdoor.com/Overview/Working-at-TGI-Fridays-EI_IE109078.11,22.htm"
477,Konica Minolta Business Solutions," Canon U.S.A., Ricoh USA, Xerox", 1959,"Ramsey, NJ", Computer Hardware & Software,,Konica Minolta, $10+ billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,kmbs.konicaminolta.us,"https://www.glassdoor.com/Overview/Working-at-Konica-Minolta-Business-Solutions-EI_IE27336.11,44.htm"
478,BDO USA,, 1910,"Chicago, IL", Accounting,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.bdo.com,"https://www.glassdoor.com/Overview/Working-at-BDO-USA-EI_IE346477.11,18.htm"
479,Marsh,, 1871,"New York, NY", Insurance Agencies & Brokerages,,Marsh & McLennan Companies, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,usa.marsh.com,"https://www.glassdoor.com/Overview/Working-at-Marsh-EI_IE2852.11,16.htm"
480,FCB Global, Unknown, 1873,"Chicago, IL", Advertising & Marketing,,, Unknown / Non-Applicable,1001 to 5000 employees, Subsidiary or Business Segment,www.fcb.com,"https://www.glassdoor.com/Overview/Working-at-FCB-Global-EI_IE16031.11,21.htm"
