,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
42,Prudential," AIG, MetLife, Fidelity Investments", 1875,"Newark, NJ", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PRU) ,jobs.prudential.com,"https://www.glassdoor.com/Overview/Working-at-Prudential-EI_IE2944.11,21.htm"
43,NYU Langone Health,, 1841,"New York, NY", Health Care Services & Hospitals,,, $5 to $10 billion (USD) per year,10000+ employees, Hospital,jobs.nyulangone.org,"https://www.glassdoor.com/Overview/Working-at-NYU-Langone-Health-EI_IE121521.11,29.htm"
44,ADP,, 1949,"Roseland, NJ", Consulting,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ADP) ,jobs.adp.com,"https://www.glassdoor.com/Overview/Working-at-ADP-EI_IE64.11,14.htm"
45,Bloomingdale's,, 1861,"New York, NY"," Department, Clothing, & Shoe Stores",,Macy's, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.bloomingdales.com,"https://www.glassdoor.com/Overview/Working-at-Bloomingdale-s-EI_IE14465.11,25.htm"
46,Pfizer,, 1849,"New York, NY", Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PFE) ,www.pfizer.com,"https://www.glassdoor.com/Overview/Working-at-Pfizer-EI_IE525.11,17.htm"
47,New York Life,, 1845,"New York, NY", Insurance Agencies & Brokerages,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.newyorklife.com,"https://www.glassdoor.com/Overview/Working-at-New-York-Life-EI_IE2915.11,24.htm"
48,Merck, Unknown, 1891,"Kenilworth, NJ", Health Care Services & Hospitals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MRK) ,www.merck.com,"https://www.glassdoor.com/Overview/Working-at-Merck-EI_IE438.11,16.htm"
49,Chase,, 1799,"New York, NY", Banks & Credit Unions,,J.P. Morgan, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.chase.com,"https://www.glassdoor.com/Overview/Working-at-Chase-EI_IE690765.11,16.htm"
50,Ralph Lauren,, 1967,"New York, NY", Other Retail Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (RL) ,www.ralphlauren.com,"https://www.glassdoor.com/Overview/Working-at-Ralph-Lauren-EI_IE2937.11,23.htm"
51,TD,, 1855,"Mount Laurel, NJ", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public ( TD) ,www.td.com,"https://www.glassdoor.com/Overview/Working-at-TD-EI_IE3767.11,13.htm"
52,"Toys ""R"" Us"," Walmart, Target, Amazon", 1948,"Wayne, NJ", Toy & Hobby Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,www.ruscareers.com,"https://www.glassdoor.com/Overview/Working-at-Toys-R-Us-EI_IE672.11,20.htm"
53,McDonald's,, 1955,"Chicago, IL", Fast-Food & Quick-Service Restaurants,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MCD) ,www.mcdonalds.com,"https://www.glassdoor.com/Overview/Working-at-McDonald-s-EI_IE432.11,21.htm"
54,MetLife,, 1868,"New York, NY", Insurance Agencies & Brokerages,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MET) ,www.metlife.com,"https://www.glassdoor.com/Overview/Working-at-MetLife-EI_IE2899.11,18.htm"
55,Staples, Unknown, 1986,"Framingham, MA", Office Supply Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.staples.com,"https://www.glassdoor.com/Overview/Working-at-Staples-EI_IE1909.11,18.htm"
56,Shoprite Supermarkets, Unknown, Unknown,"Bristol, CT", Vehicle Dealers,,, $10 to $25 million (USD) per year,201 to 500 employees, Other Organization,www.shoprite.com,"https://www.glassdoor.com/Overview/Working-at-Shoprite-Supermarkets-EI_IE346610.11,32.htm"
57,PepsiCo," Unilever, Mondelēz International, Amazon", 1965,"Purchase, NY", Food & Beverage Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PEP) ,www.pepsico.com,"https://www.glassdoor.com/Overview/Working-at-PepsiCo-EI_IE522.11,18.htm"
58,L'Oréal," Google, Amazon, Facebook", 1909,Clichy (France), Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (LRLCY) ,www.loreal.com,https://www.glassdoor.com/loreal
59,Amazon,, 1994,"Seattle, WA", Internet,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AMZN) ,www.amazon.jobs,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
60,HSBC Holdings," J.P. Morgan, Wells Fargo", 1865,"London, England (UK)", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HSBC) ,www.hsbc.com,"https://www.glassdoor.com/Overview/Working-at-HSBC-Holdings-EI_IE3482.11,24.htm"
61,Google," Microsoft, Apple, Facebook", 1998,"Mountain View, CA", Internet,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GOOG) ,www.google.com,"https://www.glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm"
62,Cablevision Systems, Unknown, 1973,"Bethpage, NY"," Cable, Internet & Telephone Providers",,Altice, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (CVC) ,www.alticeusacareers.com,"https://www.glassdoor.com/Overview/Working-at-Cablevision-Systems-EI_IE802.11,30.htm"
63,Walmart,, 1962,"Bentonville, AR"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (WMT) ,careers.walmart.com,"https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm"
64,Time Inc., Unknown, 1922,"Des Moines, IA", News Outlet,,Meredith Corporation, Unknown / Non-Applicable,5001 to 10000 employees, Company - Public,www.meredith.com,"https://www.glassdoor.com/Overview/Working-at-Time-Inc-EI_IE4192.11,19.htm"
65,Estée Lauder Companies, Unknown, 1946,"New York, NY", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (EL) ,www.elcompanies.com,"https://www.glassdoor.com/Overview/Working-at-Estée-Lauder-Companies-EI_IE2785.11,33.htm"
66,United Nations, Unknown, 1945,"New York, NY", Federal Agencies,,, Unknown / Non-Applicable per year,10000+ employees, Government,www.un.org,"https://www.glassdoor.com/Overview/Working-at-United-Nations-EI_IE21435.11,25.htm"
67,Wells Fargo,, 1852,"San Francisco, CA", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (WFC) ,www.wellsfargojobs.com,"https://www.glassdoor.com/Overview/Working-at-Wells-Fargo-EI_IE8876.11,22.htm"
68,Whole Foods Market,, 1980,"Austin, TX", Grocery Stores & Supermarkets,,Amazon, $10+ billion (USD) per year,10000+ employees, Company - Public (WFM) ,joinwholefoods.com,"https://www.glassdoor.com/Overview/Working-at-Whole-Foods-Market-EI_IE422.11,29.htm"
69,Walgreens," CVS Health, Target, Walmart", 1901,"Deerfield, IL", Drug & Health Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (WBA) ,www.walgreens.com,"https://www.glassdoor.com/Overview/Working-at-Walgreens-EI_IE716.11,20.htm"
70,Victoria's Secret," Macy's, Zara, H&M", 1977,"Reynoldsburg, OH"," Department, Clothing, & Shoe Stores",,L Brands, $5 to $10 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.victoriassecret.com,"https://www.glassdoor.com/Overview/Working-at-Victoria-s-Secret-EI_IE13903.11,28.htm"
71,Gap,, 1969,"San Francisco, CA"," Department, Clothing, & Shoe Stores",,Gap Inc., $10+ billion (USD) per year,10000+ employees, Company - Public,www.gap.com,"https://www.glassdoor.com/Overview/Working-at-Gap-EI_IE114118.11,14.htm"
72,Bed Bath & Beyond, Unknown, 1971,"Union, NJ", Home Furniture & Housewares Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BBBY) ,www.bedbathandbeyond.com,"https://www.glassdoor.com/Overview/Working-at-Bed-Bath-and-Beyond-EI_IE1961.11,30.htm"
73,CA Technologies, Unknown, Unknown,"San Jose, CA", Computer Hardware & Software,,Broadcom, Unknown / Non-Applicable,10000+ employees, Unknown,www.broadcom.com,"https://www.glassdoor.com/Overview/Working-at-CA-Technologies-EI_IE167.11,26.htm"
74,Merrill Lynch,, 1820,"New York, NY", Brokerage Services,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.ml.com,"https://www.glassdoor.com/Overview/Working-at-Merrill-Lynch-EI_IE440.11,24.htm"
75,Sears," Macy's, The Home Depot, Best Buy", 1886,"Hoffman Estates, IL", Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Private,jobs.sears.com,"https://www.glassdoor.com/Overview/Working-at-Sears-EI_IE37984.11,16.htm"
76,Novartis,, 1996,Basel (Switzerland), Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NVS) ,www.novartis.com,"https://www.glassdoor.com/Overview/Working-at-Novartis-EI_IE6667.11,19.htm"
77,Condé Nast," Hearst, Time Inc., Complex", 1909,"London, England (UK)", Publishing,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Public,www.condenast.co.uk,"https://www.glassdoor.com/Overview/Working-at-Condé-Nast-EI_IE8360.11,21.htm"
78,BlackRock,, 1988,"New York, NY", Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BLK) ,careers.blackrock.com,"https://www.glassdoor.com/Overview/Working-at-BlackRock-EI_IE9331.11,20.htm"
79,Metropolitan Transportation Authority, Unknown, Unknown,"New York, NY", Transportation Management,,, Unknown / Non-Applicable per year,5001 to 10000 employees, Government,www.mta.info,"https://www.glassdoor.com/Overview/Working-at-Metropolitan-Transportation-Authority-EI_IE366592.11,48.htm"
80,Abercrombie & Fitch," American Eagle Outfitters, Ralph Lauren, J. Crew", 1892,"New Albany, OH", Unknown,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (ANF) ,www.abercrombie.com,"https://www.glassdoor.com/Overview/Working-at-Abercrombie-and-Fitch-EI_IE6756.11,32.htm"
81,T-Mobile,, 2001,"Bellevue, WA", Telecommunications Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TMUS) ,www.tmobile.careers,"https://www.glassdoor.com/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm"
82,Uniqlo," Zara, Topshop, H&M", Unknown,"Yamaguchi, Yamaguchi (Japan)"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.uniqlo.com,"https://www.glassdoor.com/Overview/Working-at-Uniqlo-EI_IE320880.11,17.htm"
83,Con Edison," National Grid USA, New York State Electric & Gas", 1997,"New York, NY", Utilities,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ED) ,www.conedison.com,"https://www.glassdoor.com/Overview/Working-at-Con-Edison-EI_IE16462.11,21.htm"
84,McKinsey & Company,, 1926,"New York, NY", Consulting,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.mckinsey.com,"https://www.glassdoor.com/Overview/Working-at-McKinsey-and-Company-EI_IE2893.11,31.htm"
85,Century 21 Stores,, 1961,"New York, NY"," Department, Clothing, & Shoe Stores",,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,www.c21stores.com,"https://www.glassdoor.com/Overview/Working-at-Century-21-Stores-EI_IE136156.11,28.htm"
86,Ogilvy,, 1948,"New York, NY", Advertising & Marketing,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.ogilvy.com,"https://www.glassdoor.com/Overview/Working-at-Ogilvy-EI_IE13661.11,17.htm"
87,Infosys,, 1981,Bengaluru (India), IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (INFY) ,www.infosys.com,"https://www.glassdoor.com/Overview/Working-at-Infosys-EI_IE7927.11,18.htm"
88,Stony Brook University, Unknown, 1957,"Stony Brook, NY", Colleges & Universities,,, $500 million to $1 billion (USD) per year,10000+ employees, College / University,www.stonybrook.edu,"https://www.glassdoor.com/Overview/Working-at-Stony-Brook-University-EI_IE33757.11,33.htm"
89,Lowe's," The Home Depot, Amazon, Walmart", 1946,"Mooresville, NC", Home Centers & Hardware Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (LOW) ,jobs.lowes.com,"https://www.glassdoor.com/Overview/Working-at-Lowe-s-EI_IE415.11,17.htm"
90,Barnes & Noble, Unknown, Unknown,"New York, NY", Other Retail Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BKS) ,www.barnesandnoble.com,"https://www.glassdoor.com/Overview/Working-at-Barnes-and-Noble-EI_IE2439.11,27.htm"
91,Forever 21," H&M, Inditex, Urban Outfitters", 1984,"Los Angeles, CA", Unknown,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Private,www.forever21.com,"https://www.glassdoor.com/Overview/Working-at-Forever-21-EI_IE13361.11,21.htm"
92,Capital One,, 1994,"Mc Lean, VA", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (COF) ,www.capitalonecareers.com,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm"
93,US Postal Service, Unknown, 1971,"Washington, DC", Logistics & Supply Chain,,, $10+ billion (USD) per year,10000+ employees, Government,www.usps.com,"https://www.glassdoor.com/Overview/Working-at-US-Postal-Service-EI_IE3032.11,28.htm"
94,Tata Consultancy Services," Accenture, IBM, Infosys", 1968,Mumbai (India), Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (TCSN) ,www.tcs.com,"https://www.glassdoor.com/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.11,36.htm"
95,Yelp,, 2004,"San Francisco, CA", Internet,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public (YELP) ,www.yelp.com,"https://www.glassdoor.com/Overview/Working-at-Yelp-EI_IE43314.11,15.htm"
96,BNP Paribas, Unknown, 2000,Paris (France), Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BNP) ,www.group.bnpparibas,"https://www.glassdoor.com/Overview/Working-at-BNP-Paribas-EI_IE10342.11,22.htm"
97,Success Academy Charter Schools,, 2006,"New York, NY", K-12 Education,,, $100 to $500 million (USD) per year,1001 to 5000 employees, School / School District,www.successcareers.org,"https://www.glassdoor.com/Overview/Working-at-Success-Academy-Charter-Schools-EI_IE381408.11,42.htm"
98,JetBlue," Delta Air Lines, Southwest Airlines, United Airlines", 1999,"Long Island City, NY", Transportation Management,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (JBLU) ,www.jetblue.com,"https://www.glassdoor.com/Overview/Working-at-JetBlue-EI_IE11385.11,18.htm"
99,Nielsen, Unknown, 1923,"New York, NY", Enterprise Software & Network Solutions,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (NLSN) ,www.nielsen.com,"https://www.glassdoor.com/Overview/Working-at-Nielsen-EI_IE3776.11,18.htm"
100,Rite Aid, Unknown, 1968,"Camp Hill, PA", Drug & Health Stores,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RAD) ,www.riteaid.com,"https://www.glassdoor.com/Overview/Working-at-Rite-Aid-EI_IE565.11,19.htm"
101,Saks Fifth Avenue," Nordstrom, Winners, Holt Renfrew", Unknown,"New York, NY"," Department, Clothing, & Shoe Stores",,, $1 to $5 million (USD) per year,10000+ employees, Company - Public,www.hbc.com,"https://www.glassdoor.com/Overview/Working-at-Saks-Fifth-Avenue-EI_IE2963.11,28.htm"
102,CUNY (City University of New York), Unknown, 1847,"New York, NY", Colleges & Universities,,, $2 to $5 billion (USD) per year,10000+ employees, College / University,www.cuny.edu,"https://www.glassdoor.com/Overview/Working-at-CUNY-City-University-of-New-York-EI_IE3726.11,43.htm"
103,J. Crew, Unknown, 1983,"New York, NY"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,www.jcrew.com,"https://www.glassdoor.com/Overview/Working-at-J-Crew-EI_IE2848.11,17.htm"
104,Unilever,, 1872,"Englewood Cliffs, NJ", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ULVR:LN) ,www.unilever.com,"https://www.glassdoor.com/Overview/Working-at-Unilever-EI_IE3513.11,19.htm"
105,Avon," Johnson & Johnson, Unilever, Procter & Gamble", 1886,"London, England (UK)", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (AVP) ,www.avoncompany.com,"https://www.glassdoor.com/Overview/Working-at-Avon-EI_IE67.11,15.htm"
106,Mastercard,, 1966,"Purchase, NY", Financial Transaction Processing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (MA) ,www.mastercard.com,"https://www.glassdoor.com/Overview/Working-at-Mastercard-EI_IE3677.11,21.htm"
107,Tiffany & Co., Unknown, 1837,"New York, NY", Other Retail Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (TIF) ,www.tiffanycareers.com,"https://www.glassdoor.com/Overview/Working-at-Tiffany-and-Co-EI_IE663.11,25.htm"
108,Town Sports International Holdings," LA Fitness, 24 Hour Fitness, Equinox Fitness", 1973,"New York, NY"," Health, Beauty, & Fitness",,, $100 to $500 million (USD) per year,5001 to 10000 employees, Company - Public (CLUB) ,www.mysportsclubs.com,"https://www.glassdoor.com/Overview/Working-at-Town-Sports-International-Holdings-EI_IE8690.11,45.htm"
109,Robert Half,, 1948,"Menlo Park, CA", Staffing & Outsourcing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (RHI) ,www.roberthalf.com,"https://www.glassdoor.com/Overview/Working-at-Robert-Half-EI_IE1838.11,22.htm"
110,YMCA, Unknown, 1982,"Chicago, IL", Social Assistance,,, $100 to $500 million (USD) per year,10000+ employees, Nonprofit Organization,www.ymca.net,"https://www.glassdoor.com/Overview/Working-at-YMCA-EI_IE3046.11,15.htm"
111,Enterprise,, 1957,"Saint Louis, MO", Car Rental,,, $10+ billion (USD) per year,10000+ employees, Company - Private,careers.enterprise.com,"https://www.glassdoor.com/Overview/Working-at-Enterprise-EI_IE2783.11,21.htm"
112,EmblemHealth,, 1937,"New York, NY", Insurance Carriers,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Nonprofit Organization,www.emblemhealth.com,"https://www.glassdoor.com/Overview/Working-at-EmblemHealth-EI_IE157147.11,23.htm"
113,Stop & Shop," Hannaford Bros., Big Y Foods, Shaw's", 1989,"Quincy, MA", Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.stopandshop.com,"https://www.glassdoor.com/Overview/Working-at-Stop-and-Shop-EI_IE2117.11,24.htm"
114,Broadridge,, 2007,"Lake Success, NY", Financial Transaction Processing,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (BR) ,www.broadridge.com,"https://www.glassdoor.com/Overview/Working-at-Broadridge-EI_IE42559.11,21.htm"
115,Moody's, Unknown, 1900,"New York, NY", Financial Analytics & Research,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (MCO) ,www.moodys.com,"https://www.glassdoor.com/Overview/Working-at-Moody-s-EI_IE11303.11,18.htm"
116,Equinox Fitness," Life Time, Virgin Active, ClubCorp", 1991,"New York, NY", Sports & Recreation,,, $1 to $2 billion (USD) per year,10000+ employees, Company - Private,www.equinox.com,"https://www.glassdoor.com/Overview/Working-at-Equinox-Fitness-EI_IE134448.11,26.htm"
117,H&M,, 1947,"Stockholm, Stockholm (Sweden)"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public ( HMB) ,www.hm.com,"https://www.glassdoor.com/Overview/Working-at-H-and-M-EI_IE11918.11,18.htm"
118,Edelman,, 1952,"New York, NY", Advertising & Marketing,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Private,www.edelman.com,https://www.glassdoor.com/edelman
119,Hertz, Unknown, 1918,"Estero, FL", Car Rental,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (HTZ) ,www.hertz.com,"https://www.glassdoor.com/Overview/Working-at-Hertz-EI_IE4071.11,16.htm"
120,PVH Corp.,, 1881,"New York, NY"," Department, Clothing, & Shoe Stores",,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (PVH) ,www.pvh.com,"https://www.glassdoor.com/Overview/Working-at-PVH-Corp-EI_IE530.11,19.htm"
121,Pearson,, 1844,"London, England (UK)", Education Training Services,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (PSO) ,www.pearson.com,"https://www.glassdoor.com/Overview/Working-at-Pearson-EI_IE3322.11,18.htm"
122,Ann Taylor, Unknown, 1954,"New York, NY"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,www.anninc.com,"https://www.glassdoor.com/Overview/Working-at-Ann-Taylor-EI_IE1972.11,21.htm"
123,Lord & Taylor," Nordstrom, Macy's, Winners", 2006,"New York, NY"," Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public,www.hbc.com,"https://www.glassdoor.com/Overview/Working-at-Lord-and-Taylor-EI_IE42387.11,26.htm"
124,American Eagle Outfitters, Unknown, 1977,"Pittsburgh, PA"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (AEO) ,www.aeo.jobs,"https://www.glassdoor.com/Overview/Working-at-American-Eagle-Outfitters-EI_IE2642.11,36.htm"
125,Montefiore Medical,, 1884,"Bronx, NY", Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Nonprofit Organization,www.montefiore.org,"https://www.glassdoor.com/Overview/Working-at-Montefiore-Medical-EI_IE2905.11,29.htm"
126,Nordstrom,, 1901,"Seattle, WA"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (JWN) ,www.nordstrom.com,"https://www.glassdoor.com/Overview/Working-at-Nordstrom-EI_IE1704.11,20.htm"
127,Scholastic, Unknown, 1920,"New York, NY", Publishing,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (SCHL) ,www.scholastic.com,"https://www.glassdoor.com/Overview/Working-at-Scholastic-EI_IE2142.11,21.htm"
128,Duane Reade, Unknown, 2004,"New York, NY", Drug & Health Stores,,Walgreens, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.duanereade.com,"https://www.glassdoor.com/Overview/Working-at-Duane-Reade-EI_IE7504.11,22.htm"
129,Colgate-Palmolive,, 1806,"New York, NY", Consumer Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CL) ,www.colgatepalmolive.com,"https://www.glassdoor.com/Overview/Working-at-Colgate-Palmolive-EI_IE162.11,28.htm"
130,Wiley, Unknown, 1807,"Hoboken, NJ", Publishing,,, $1 to $2 billion (USD) per year,5001 to 10000 employees, Company - Public (JW-A) ,www.wiley.com,"https://www.glassdoor.com/Overview/Working-at-Wiley-EI_IE1551.11,16.htm"
131,Hearst, Unknown, 1887,"New York, NY", Motion Picture Production & Distribution,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,www.hearst.com,"https://www.glassdoor.com/Overview/Working-at-Hearst-EI_IE2823.11,17.htm"
132,S&P Global Ratings,, 1860,"New York, NY", Financial Analytics & Research,,S&P Global, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.spratings.com/en_us/home,"https://www.glassdoor.com/Overview/Working-at-S-and-P-Global-Ratings-EI_IE30287.11,33.htm"
133,Weill Cornell Medical College, Unknown, 1898,"New York, NY", Colleges & Universities,,, Unknown / Non-Applicable,10000+ employees, College / University,weill.cornell.edu,"https://www.glassdoor.com/Overview/Working-at-Weill-Cornell-Medical-College-EI_IE113342.11,40.htm"
134,Kohl's,, 1962,"Menomonee Falls, WI"," Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (KSS) ,kohlscareers.com/gd,"https://www.glassdoor.com/Overview/Working-at-Kohl-s-EI_IE592.11,17.htm"
135,Coach,, 1941,"New York, NY", Other Retail Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (TPR) ,www.coach.com,"https://www.glassdoor.com/Overview/Working-at-Coach-EI_IE12070.11,16.htm"
136,Société Générale," BNP Paribas, Natixis, Calyon Securities USA", 1864,Paris (France), Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (GLE) ,www.societegenerale.com,"https://www.glassdoor.com/Overview/Working-at-Société-Générale-EI_IE10350.11,27.htm"
137,Trader Joe's,, 1967,"Monrovia, CA", Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.traderjoes.com,"https://www.glassdoor.com/Overview/Working-at-Trader-Joe-s-EI_IE5631.11,23.htm"
138,HBO, Unknown, 1972,"New York, NY", TV Broadcast & Cable Networks,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.hbo.com,"https://www.glassdoor.com/Overview/Working-at-HBO-EI_IE13635.11,14.htm"
139,Sephora,, 1969,"San Francisco, CA", Beauty & Personal Accessories Stores,,LVMH, $2 to $5 billion (USD) per year,10000+ employees, Company - Private,jobs.sephora.com,"https://www.glassdoor.com/Overview/Working-at-Sephora-EI_IE14590.11,18.htm"
140,NYC Health + Hospitals, Unknown, Unknown,"New York, NY", Health Care Services & Hospitals,,, Unknown / Non-Applicable,5001 to 10000 employees, Company - Public,www.nychealthandhospitals.org,"https://www.glassdoor.com/Overview/Working-at-NYC-Health-Hospitals-EI_IE1061951.11,31.htm"
141,Sprint, AT&T, Unknown,"Overland Park, KS", Telecommunications Services,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (S) ,www.sprint.com,"https://www.glassdoor.com/Overview/Working-at-Sprint-EI_IE13345.11,17.htm"
142,Mondo," Robert Half, Insight Global", 2000,"New York, NY", Staffing & Outsourcing,,Addison Group, $50 to $100 million (USD) per year,201 to 500 employees, Company - Private,www.mondo.com,"https://www.glassdoor.com/Overview/Working-at-Mondo-EI_IE670274.11,16.htm"
143,Old Navy,, 1994,"San Francisco, CA"," Department, Clothing, & Shoe Stores",,Gap Inc., $100 to $500 million (USD) per year,10000+ employees, Subsidiary or Business Segment,www.oldnavy.com,"https://www.glassdoor.com/Overview/Working-at-Old-Navy-EI_IE18861.11,19.htm"
144,TransPerfect, Unknown, 1992,"New York, NY", Consulting,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,www.transperfect.com,"https://www.glassdoor.com/Overview/Working-at-TransPerfect-EI_IE32824.11,23.htm"
145,Chipotle,, 1993,"Denver, CO", Casual Restaurants,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (CMG) ,www.chipotle.com,"https://www.glassdoor.com/Overview/Working-at-Chipotle-EI_IE15228.11,19.htm"
146,AllianceBernstein,, 1967,"New York, NY", Investment Banking & Asset Management,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public,www.alliancebernstein.com,"https://www.glassdoor.com/Overview/Working-at-AllianceBernstein-EI_IE14976.11,28.htm"
147,Honeywell,, 1885,"Charlotte, NC", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (HON) ,www.honeywell.com,"https://www.glassdoor.com/Overview/Working-at-Honeywell-EI_IE28.11,20.htm"
148,New York Times, Unknown, 1896,"New York, NY", News Outlet,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Public (NYT) ,www.nytimes.com,"https://www.glassdoor.com/Overview/Working-at-New-York-Times-EI_IE960.11,25.htm"
149,Kmart, Unknown, 1899,"Hoffman Estates, IL", General Merchandise & Superstores,,Sears, $5 to $10 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.kmartcorp.com,"https://www.glassdoor.com/Overview/Working-at-Kmart-EI_IE370.11,16.htm"
